,Time,Total_Electricity_[KW],Avg_Electricity_[KW]
0,2004-01-01,91544.05112898465,5721.50319556154
1,2004-01-02,139309.068996068,8706.81681225425
2,2004-01-03,142005.34607142396,8875.334129463998
3,2004-01-04,136463.36539290813,8528.960337056758
4,2004-01-05,136404.46337550943,8525.27896096934
5,2004-01-06,134503.80915517668,8406.488072198543
6,2004-01-07,96835.19719289873,6052.199824556171
7,2004-01-08,91325.53939948099,5707.846212467562
8,2004-01-09,136677.3773546376,8542.33608466485
9,2004-01-10,136305.6790214767,8519.104938842294
10,2004-01-11,136279.0695561385,8517.441847258657
11,2004-01-12,136994.76951534307,8562.173094708942
12,2004-01-13,135039.71671855688,8439.982294909805
13,2004-01-14,97480.91708530307,6092.557317831442
14,2004-01-15,86962.36950738396,5435.148094211498
15,2004-01-16,91968.90027665504,5748.05626729094
16,2004-01-17,143488.07213921193,8968.004508700746
17,2004-01-18,138556.48871745093,8659.780544840683
18,2004-01-19,143970.02655968917,8998.126659980573
19,2004-01-20,138237.07862613158,8639.817414133224
20,2004-01-21,98761.89420049048,6172.618387530655
21,2004-01-22,91663.68650364892,5728.980406478057
22,2004-01-23,136500.65797321178,8531.291123325736
23,2004-01-24,136226.19103237585,8514.13693952349
24,2004-01-25,136229.7886320365,8514.361789502282
25,2004-01-26,135826.33634850263,8489.146021781415
26,2004-01-27,135181.1249248429,8448.820307802682
27,2004-01-28,96975.58064297569,6060.973790185981
28,2004-01-29,91282.41404811577,5705.150878007235
29,2004-01-30,137876.65943243375,8617.29121452711
30,2004-01-31,136244.54440639933,8515.284025399958
31,2004-02-01,138292.66160466778,8643.291350291736
32,2004-02-02,136425.00877452732,8526.563048407957
33,2004-02-03,135298.26930103276,8456.141831314548
34,2004-02-04,99020.41886715071,6188.77617919692
35,2004-02-05,91492.30761840373,5718.269226150233
36,2004-02-06,141541.6587890698,8846.353674316862
37,2004-02-07,140863.06033479839,8803.941270924899
38,2004-02-08,139013.27160469303,8688.329475293314
39,2004-02-09,139467.0382236577,8716.689888978606
40,2004-02-10,138526.81110118647,8657.925693824154
41,2004-02-11,100755.81180194946,6297.238237621841
42,2004-02-12,93484.47471001315,5842.779669375822
43,2004-02-13,146863.96240142104,9178.997650088815
44,2004-02-14,151758.3829586966,9484.898934918538
45,2004-02-15,153955.40574531205,9622.212859082003
46,2004-02-16,148584.56353655673,9286.535221034796
47,2004-02-17,149611.74037407685,9350.733773379803
48,2004-02-18,104553.39068565535,6534.586917853459
49,2004-02-19,87739.77497088938,5483.735935680586
50,2004-02-20,91336.61710183766,5708.538568864854
51,2004-02-21,138700.85386231876,8668.803366394923
52,2004-02-22,137677.33377566902,8604.833360979314
53,2004-02-23,138140.56127648015,8633.78507978001
54,2004-02-24,135669.9783175343,8479.373644845893
55,2004-02-25,97965.47222211145,6122.842013881966
56,2004-02-26,92561.78998996237,5785.111874372648
57,2004-02-27,143142.79653921176,8946.424783700735
58,2004-02-28,137723.04143297835,8607.690089561147
59,2004-03-01,145103.58342797795,9068.973964248622
60,2004-03-02,152985.49425264745,9561.593390790465
61,2004-03-03,148710.78507821,9294.424067388125
62,2004-03-04,102115.3842300477,6382.211514377981
63,2004-03-05,92537.73270813563,5783.608294258477
64,2004-03-06,150368.27266509092,9398.017041568182
65,2004-03-07,150466.60028073663,9404.16251754604
66,2004-03-08,143643.7524951644,8977.734530947775
67,2004-03-09,142205.66120391947,8887.853825244967
68,2004-03-10,140130.52488648667,8758.157805405417
69,2004-03-11,102879.72026173279,6429.982516358299
70,2004-03-12,102712.94214238913,6419.558883899321
71,2004-03-13,154897.06186352918,9681.066366470573
72,2004-03-14,149793.38477374206,9362.086548358879
73,2004-03-15,147112.82795928468,9194.551747455293
74,2004-03-16,141735.74405167947,8858.484003229967
75,2004-03-17,141309.03799438284,8831.814874648928
76,2004-03-18,101063.49386019172,6316.468366261983
77,2004-03-19,93209.7597574057,5825.609984837856
78,2004-03-20,142225.85667365303,8889.116042103315
79,2004-03-21,141265.56066331675,8829.097541457297
80,2004-03-22,136186.7858908841,8511.674118180255
81,2004-03-23,137391.425895914,8586.964118494625
82,2004-03-24,135715.91664235992,8482.244790147495
83,2004-03-25,98251.10488685886,6140.694055428678
84,2004-03-26,94489.97605430624,5905.62350339414
85,2004-03-27,146781.95533822785,9173.87220863924
86,2004-03-28,147507.42500049915,9219.214062531197
87,2004-03-29,146753.49763619422,9172.093602262139
88,2004-03-30,145659.81568165272,9103.738480103295
89,2004-03-31,146789.79795959115,9174.362372474447
90,2004-04-01,111881.85513837425,6992.61594614839
91,2004-04-02,105293.0310799955,6580.814442499719
92,2004-04-03,153093.3260350738,9568.332877192113
93,2004-04-04,144674.98292339753,9042.186432712346
94,2004-04-05,142200.11752836726,8887.507345522954
95,2004-04-06,141727.5419693566,8857.971373084787
96,2004-04-07,141539.84693914044,8846.240433696277
97,2004-04-08,98099.68518276991,6131.23032392312
98,2004-04-09,92985.57749917445,5811.598593698403
99,2004-04-10,143206.13675415446,8950.383547134654
100,2004-04-11,149234.8770844432,9327.1798177777
101,2004-04-12,155142.8037520251,9696.425234501568
102,2004-04-13,152617.00794168128,9538.56299635508
103,2004-04-14,143785.9443438113,8986.621521488207
104,2004-04-15,101911.09002544236,6369.443126590148
105,2004-04-16,91578.73393096532,5723.670870685332
